ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
11/26/2016,,,,125,178,329,164,86.25,145.3,
11/27/2016,,,,153,205,617,184,90.43,103.99,
11/28/2016,,,,130,237,331,869,75.75,175.67,
11/29/2016,,,,72,186,528,668,89.43,199.65,
11/30/2016,,,,105,168,392,712,79.37,165.72,
12/1/2016,,,,162,154,305,447,86.61,146.27,
12/2/2016,,,,95,142,470,72,84.28,135.96,
12/3/2016,,,,218,143,313,522,78.12,106.37,
12/4/2016,,,,144,283,270,336,94.6,121.52,
12/5/2016,,,,640,217,624,637,95.87,165.85,
12/6/2016,,,,511,119,252,146,74.91,102.84,
12/7/2016,,,,576,292,642,750,83.39,161.54,
12/8/2016,,,,148,196,661,436,94.93,127.06,
12/9/2016,,,,53,192,539,404,83.11,148.51,
12/10/2016,,,,303,256,249,563,82.52,126.49,
12/11/2016,,,,289,220,558,367,76.56,217.94,
12/12/2016,,,,242,193,466,603,90.3,178.09,
12/13/2016,,,,444,311,427,325,78.57,83.15,
12/14/2016,,,,628,243,242,537,90.56,157.61,
12/15/2016,,,,272,213,554,353,86.56,173.97,
12/16/2016,,,,302,200,1269,370,78.87,157.82,
12/17/2016,,,,367,322,229,316,71.43,134.95,
12/18/2016,,,,281,278,218,461,82.35,132.74,
12/19/2016,,,,409,137,379,109,70.0,272.91,
12/20/2016,,,,279,202,441,212,81.36,153.85,
12/21/2016,,,,436,206,1407,238,89.0,180.04,
12/22/2016,,,,440,367,828,642,80.3,115.83,
12/23/2016,,,,270,199,436,636,70.75,193.95,
12/25/2016,,,,11,223,671,302,87.37,178.62,
12/26/2016,,,,359,101,264,269,89.47,193.65,
12/27/2016,,,,79,109,227,245,89.12,183.26,
12/28/2016,,,,604,222,281,543,92.86,145.13,
12/29/2016,,,,141,352,147,1439,85.03,120.28,
12/30/2016,,,,489,426,196,273,90.53,109.95,
12/31/2016,,,,435,156,504,374,90.28,183.72,
1/1/2017,,,,419,176,278,430,69.23,165.73,
1/2/2017,,,,247,280,200,1347,87.5,172.34,
1/3/2017,,,,346,263,154,310,76.38,231.83,
1/4/2017,,,,228,171,144,772,57.38,242.99,
1/5/2017,,,,160,239,207,191,96.94,134.69,
1/6/2017,,,,1070,468,170,188,87.8,252.34,
1/7/2017,,,,295,191,205,224,65.22,84.55,
1/8/2017,,,,1042,375,228,103,73.65,129.24,
1/9/2017,,,,464,245,285,135,76.5,169.75,
1/10/2017,,,,437,179,737,415,80.9,116.17,
1/11/2017,,,,203,427,386,242,70.69,186.09,
