ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount,
11/21/2016,,,452.7,1907,,,123,242,35.9,71,
11/22/2016,,,709.49,941,,,372,105,49.53,91,
11/23/2016,,,459.16,1155,,,553,4,39.08,16,
11/24/2016,,,446.89,1353,,,1218,665,19.07,8,
11/25/2016,,,678.26,1311,,,129,308,16.63,176,
11/26/2016,,,395.47,479,,,1575,476,16.02,62,
11/27/2016,,,420.51,41,,,1778,318,14.46,248,
11/28/2016,,,541.74,1220,,,361,9,21.51,344,
11/29/2016,,,441.09,219,,,822,262,5.73,226,
11/30/2016,,,211.63,604,,,1176,287,7.04,230,
12/1/2016,,,9.45,773,,,1161,605,29.83,38,
12/2/2016,,,441.15,1023,,,588,628,23.95,70,
12/3/2016,,,87.96,545,,,657,395,12.99,99,
12/4/2016,,,209.37,2002,,,254,279,34.49,50,
12/5/2016,,,236.57,220,,,187,426,4.72,76,
12/6/2016,,,392.71,2531,,,638,231,54.83,48,
12/7/2016,,,197.04,2622,,,1543,469,38.2,258,
12/8/2016,,,606.11,601,,,1045,210,8.47,84,
12/9/2016,,,51.66,1284,,,3880,260,26.05,154,
12/10/2016,,,789.14,1940,,,143,249,33.88,9,
12/11/2016,,,822.58,1962,,,453,257,38.84,211,
12/12/2016,,,196.11,971,,,509,131,14.03,92,
12/13/2016,,,378.24,1162,,,3456,283,23.59,275,
12/14/2016,,,712.05,981,,,583,122,11.43,358,
12/15/2016,,,732.06,2425,,,1387,163,5.2,147,
12/16/2016,,,326.89,1664,,,1583,254,14.52,141,
12/17/2016,,,360.69,5559,,,2267,110,92.37,178,
12/18/2016,,,90.17,310,,,2359,463,38.09,187,
12/19/2016,,,48.49,171,,,538,528,79.67,133,
12/20/2016,,,253.74,26,,,450,250,6.22,1,
12/21/2016,,,957.4,1051,,,339,496,1.49,144,
12/22/2016,,,600.71,509,,,90,143,15.04,206,
12/23/2016,,,1323.71,739,,,236,136,9.5,271,
12/24/2016,,,205.22,892,,,234,381,17.91,229,
12/25/2016,,,65.4,5899,,,192,849,14.87,197,
12/26/2016,,,314.21,987,,,319,221,97.89,86,
12/27/2016,,,223.48,2428,,,217,141,20.24,487,
12/28/2016,,,284.7,2389,,,206,170,43.41,350,
12/29/2016,,,362.06,3420,,,219,204,62.19,282,
12/30/2016,,,1850.41,3610,,,256,1091,72.26,80,
12/31/2016,,,347.34,862,,,188,577,56.09,370,
1/1/2017,,,934.01,791,,,469,379,15.8,218,
1/2/2017,,,710.56,579,,,136,666,17.49,121,
1/3/2017,,,1160.09,184,,,88,100,17.55,270,
1/4/2017,,,1117.55,415,,,171,21,6.85,281,
1/5/2017,,,312.6,403,,,222,56,13.89,161,
1/6/2017,,,297.68,280,,,220,135,9.97,198,
1/7/2017,,,251.29,570,,,289,81,7.96,104,
1/8/2017,,,90.35,351,,,137,168,11.89,246,
1/9/2017,,,171.38,268,,,4,62,8.04,191,
1/10/2017,,,156.49,569,,,1760,117,4.81,95,
1/11/2017,,,73.07,387,,,1417,367,12.03,213,
1/12/2017,,,250.31,435,,,1749,317,4.63,214,
1/13/2017,,,155.75,311,,,970,16,10.34,386,
1/14/2017,,,97.28,407,,,200,207,3.41,541,
1/15/2017,,,281.41,768,,,32,147,11.0,290,
1/16/2017,,,164.93,1052,,,723,438,3.99,297,
1/17/2017,,,249.22,260,,,704,415,5.96,298,
1/18/2017,,,165.3,180,,,860,240,21.26,73,
1/19/2017,,,193.11,295,,,1531,98,2.18,337,
1/20/2017,,,192.92,352,,,578,282,4.04,194,
1/21/2017,,,119.43,561,,,2533,290,6.28,107,
1/22/2017,,,126.3,346,,,897,178,6.07,269,
1/23/2017,,,311.14,3124,,,899,278,13.52,276,
1/24/2017,,,429.47,2012,,,975,223,8.33,155,
1/25/2017,,,85.07,2760,,,1041,243,0.53,145,
1/26/2017,,,62.06,1583,,,556,228,65.42,119,
1/27/2017,,,122.8,274,,,576,289,88.5,196,
1/28/2017,,,146.3,48,,,1311,77,59.64,372,
1/29/2017,,,173.96,1179,,,472,125,33.3,518,
1/30/2017,,,237.28,1154,,,599,376,3.0,285,
1/31/2017,,,108.4,1440,,,729,325,0.38,216,
2/1/2017,,,7.7,2552,,,698,244,25.83,307,
2/2/2017,,,1226.93,879,,,292,140,29.39,295,
2/3/2017,,,557.54,3928,,,14,301,18.57,252,
2/4/2017,,,854.94,1562,,,906,229,45.11,201,
2/5/2017,,,554.52,1088,,,242,563,10.16,234,
2/6/2017,,,47.27,1548,,,382,507,53.91,163,
2/7/2017,,,18.17,1578,,,511,742,45.05,151,
2/8/2017,,,482.52,1109,,,725,75,18.4,331,
2/9/2017,,,504.1,1798,,,321,474,24.81,382,
2/10/2017,,,505.87,1046,,,1682,554,43.15,215,
2/11/2017,,,1055.18,1096,,,124,19,14.54,240,
2/12/2017,,,199.65,2279,,,1846,92,29.43,369,
2/13/2017,,,1136.71,818,,,1535,101,19.49,231,
2/14/2017,,,726.67,1227,,,304,52,24.55,287,
2/15/2017,,,261.95,514,,,968,319,50.0,322,
2/16/2017,,,615.77,34,,,1392,296,25.53,170,
2/17/2017,,,505.23,1455,,,1303,159,43.6,245,
